HAVG,AAVG,HSLG,ASLG,HOBP,AOBP,HRBIP,ARBIP,HOAVG,AOAVG,HOOBP,AOOBP,HWHIP,AWHIP,HERA,AERA,HQSP,AQSP,HPhyta,APhyta,HRank,HWP,AWP,HOPS,AOPS,HGPA,AGPA,HERA * ARBIP,AERA * HRBIP,HWHIP * AGPA / 9,AWHIP * HGPA / 9,(HPhyta + HWP)/2,(APhyta + AWP)/2,HHitter,AHitter,HPitcher,APitcher,HResult
0.3124,0.2761,0.468,0.4082,0.3927,0.3642,3.5632,3.1798,0.2614,0.3287,0.329,0.4074,1.3148,1.9688,3.0,7.875,0.7778,0.5294,0.5422192962443158,0.46556571950853043,0.5161,0.5161,0.4715,0.8607,0.7724,0.293715,0.28089000000000003,9.5394,28.060200000000002,0.04103490800000001,0.064251788,0.5291596481221579,0.4685328597542652,4.7363,4.2283,5.683,11.109300000000001,lose
0.3067,0.2781,0.5065,0.408,0.3855,0.3566,5.2472,3.0787,0.2511,0.2598,0.3093,0.33,1.2916,1.3598,3.752,3.9008,0.55,0.7368,0.5790594541364498,0.33315119965735873,0.5654,0.5654,0.3938,0.8919999999999999,0.7646,0.30010000000000003,0.287095,11.5512824,20.46827776,0.041201322444444445,0.045341775555555554,0.5722297270682248,0.3634755998286794,6.4459,4.1213999999999995,6.154,6.587199999999999,win
0.3071,0.2867,0.4853,0.4491,0.385,0.3635,5.0,5.4773,0.2468,0.2291,0.3148,0.2941,1.2927,1.0872,3.2927,3.0899,0.7368,0.8421,0.6025552450992107,0.5904018918733648,0.5763,0.5763,0.5458,0.8703000000000001,0.8126,0.29457500000000003,0.2849,18.03510571,15.4495,0.04092113666666666,0.035584660000000004,0.5894276225496053,0.5681009459366824,6.1774000000000004,6.576599999999999,5.8838,5.542400000000001,win
0.2724,0.2857,0.4437,0.421,0.3454,0.3637,3.3977,3.314,0.2979,0.2469,0.3654,0.3192,1.587,1.3601,4.1087,3.4727,0.8462,0.7059,0.4516082245787645,0.4843050878793757,0.4668,0.4668,0.4918,0.7890999999999999,0.7847,0.266355,0.27459,13.6162318,11.79919279,0.048419369999999996,0.0402521595,0.45920411228938224,0.4880525439396879,4.4592,4.3844,7.2052,6.1048,win
0.2928,0.2707,0.5002,0.4075,0.3809,0.3514,3.8352,2.4,0.2526,0.2594,0.309,0.3774,1.2959,1.6311,4.3163,4.8932,0.7778,0.6667,0.484082586068989,0.452055578739322,0.4615,0.4615,0.4596,0.8811,0.7588999999999999,0.296455,0.28318,10.359119999999999,18.76640064,0.04077477355555556,0.05372752783333334,0.4727912930344945,0.455827789369661,5.0091,3.4295999999999998,6.9516,7.8278,win
0.3079,0.273,0.4663,0.4012,0.3871,0.3607,3.5909,3.3333,0.2541,0.2989,0.2983,0.3754,1.2175,1.6117,3.5809,6.75,0.6316,0.6471,0.5341328515905975,0.47376292794773156,0.5152,0.5152,0.4798,0.8533999999999999,0.7619,0.29077000000000003,0.27889,11.93621397,24.238575,0.037727619444444443,0.052070445444444446,0.5246664257952988,0.4767814639738658,4.7522,4.3682,5.9824,9.6831,win
0.2727,0.2819,0.4453,0.4175,0.3455,0.3606,3.427,3.3333,0.2151,0.2806,0.3069,0.348,1.2119,1.4936,1.8305,5.4464,0.8947,0.6875,0.45529367465642717,0.4811517208706425,0.4679,0.4679,0.4889,0.7908,0.7781,0.2668,0.273595,6.10160565,18.6648128,0.03684108672222222,0.04427694222222222,0.46159683732821355,0.48502586043532125,4.4905,4.3933,4.4591,8.2561,win
0.284,0.2642,0.4735,0.398,0.3652,0.342,4.413,2.8132,0.25,0.2724,0.3064,0.343,1.2077,1.3889,3.6,4.75,0.8,0.6923,0.48693065978538674,0.4491169935657387,0.4627,0.4627,0.4571,0.8387,0.74,0.282715,0.272275,10.12752,20.961750000000002,0.03653627972222222,0.043629207055555556,0.47481532989269337,0.45310849678286935,5.5357,3.8174,6.1641,7.4466,win
0.3058,0.2784,0.4688,0.404,0.3797,0.3676,3.2135,2.967,0.2039,0.2222,0.287,0.3406,1.0667,1.4516,1.8,5.5161,1.0,0.7,0.5393984882701943,0.4682791187157282,0.516,0.516,0.4746,0.8485,0.7716000000000001,0.288065,0.28262,5.3406,17.725987349999997,0.03349675044444444,0.04646168377777778,0.5276992441350972,0.4714395593578641,4.3678,4.017,4.3576,8.2305,lose
0.3087,0.2774,0.5106,0.4092,0.3866,0.3563,5.2527,3.2198,0.2955,0.3102,0.3725,0.3921,1.7089,1.7765,6.1519,7.5419,0.7826,0.5882,0.582494194500089,0.33152450390484495,0.567,0.567,0.3924,0.8972,0.7655000000000001,0.30162,0.28798500000000005,19.807887620000002,39.61533813,0.054681951833333346,0.059536436666666664,0.5747470972500445,0.3619622519524225,6.4586,4.262700000000001,9.3114,10.6089,win
0.3019,0.2845,0.4818,0.4494,0.3784,0.3618,4.8901,5.2889,0.2788,0.2585,0.3333,0.3494,1.3469,1.5254,4.4082,4.7288,0.7059,0.8864,0.6057447616554391,0.5826468349603494,0.578,0.578,0.5386,0.8602000000000001,0.8112,0.29073000000000004,0.28326,23.31452898,23.12430488,0.042391432666666666,0.04927550466666668,0.5918723808277195,0.5606234174801747,6.052200000000001,6.3846,7.0731,7.7485,win
